2	Bacteria;;;;;;
46	Bacteria;Pseudomonadota;Deltaproteobacteria;Myxococcales;Archangiaceae;;
92	
136	Bacteria;Spirochaetes;Spirochaetia;Spirochaetales;;;
158	Bacteria;Spirochaetes;Spirochaetia;Spirochaetales;Treponemataceae;Treponema;Treponema denticola
166	Bacteria;Spirochaetes;Spirochaetia;Spirochaetales;Treponemataceae;Treponema;Treponema sp.
241	Bacteria;Bacteroidota;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Flavobacterium;Flavobacterium sp. SC12154
269	
350	Bacteria;Pseudomonadota;Betaproteobacteria;Rhodocyclales;Zoogloeaceae;Zoogloea;Zoogloea ramigera
497	Bacteria;Pseudomonadota;Gammaproteobacteria;Moraxellales;Moraxellaceae;Psychrobacter;
509	Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Alcaligenaceae;Achromobacter;Achromobacter xylosoxidans
515	Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Alcaligenaceae;Achromobacter;Achromobacter xylosoxidans
536	Bacteria;Pseudomonadota;Betaproteobacteria;Neisseriales;Chromobacteriaceae;Chromobacterium;Chromobacterium violaceum
731	Bacteria;Pseudomonadota;Gammaproteobacteria;Pasteurellales;Pasteurellaceae;Histophilus;Histophilus somni
793	
825	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;Prevotella intermedia
863	Bacteria;Bacillota;Clostridia;Eubacteriales;Syntrophomonadaceae;Syntrophomonas;Syntrophomonas wolfei
990	Bacteria;Bacteroidota;Bacteroidia;Marinilabiliales;Marinilabiliaceae;Breznakibacter;Breznakibacter xylanolyticus
1078	Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Nitrobacteraceae;Rhodopseudomonas;Rhodopseudomonas sp.
1079	Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Blastochloridaceae;Blastochloris;Blastochloris viridis
1084	Bacteria;Pseudomonadota;Alphaproteobacteria;Rhodospirillales;Rhodospirillaceae;Pararhodospirillum;Pararhodospirillum photometricum
1234	Bacteria;Nitrospirae;Nitrospira;Nitrospirales;Nitrospiraceae;Nitrospira;
1255	Bacteria;Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Pediococcus;Pediococcus pentosaceus
1382	Bacteria;Actinomycetota;Coriobacteriia;Coriobacteriales;Atopobiaceae;Lancefieldella;Lancefieldella parvula
1393	Bacteria;Bacillota;Bacilli;Bacillales;Paenibacillaceae;Brevibacillus;Brevibacillus brevis
1530	Bacteria;Bacillota;Clostridia;Eubacteriales;Clostridiaceae;Clostridium;Clostridium carnis
1564	Bacteria;Bacillota;Clostridia;Eubacteriales;Peptococcaceae;Desulforamulus;Desulforamulus ruminis
1656	Bacteria;Actinomycetota;Actinomycetes;Actinomycetales;Actinomycetaceae;Actinomyces;Actinomyces viscosus
1669	Bacteria;Actinomycetota;Actinomycetes;Micrococcales;Micrococcaceae;Arthrobacter;Arthrobacter sp. NRRL B3728
1747	Bacteria;Actinomycetota;Actinomycetes;Propionibacteriales;Propionibacteriaceae;Cutibacterium;Cutibacterium acnes
1776	Bacteria;Actinomycetota;Actinomycetes;Corynebacteriales;Mycobacteriaceae;Mycolicibacterium;Mycolicibacterium flavescens
1859	Bacteria;Actinomycetota;Actinomycetes;Frankiales;Frankiaceae;Frankia;Frankia alni
2051	Bacteria;Actinomycetota;Actinomycetes;Actinomycetales;Actinomycetaceae;Mobiluncus;Mobiluncus curtisii
2586	;;;;;;Plasmid pKLH202
2736	Bacteria;Verrucomicrobia;Verrucomicrobiae;Verrucomicrobiales;Verrucomicrobiaceae;Verrucomicrobium;Verrucomicrobium spinosum
2845	
3007	
3583	Eukaryota;Streptophyta;Magnoliopsida;Caryophyllales;Portulacaceae;Portulaca;Portulaca grandiflora
3731	Eukaryota;Streptophyta;Magnoliopsida;Brassicales;Brassicaceae;Diplotaxis;
3888	Eukaryota;Streptophyta;Magnoliopsida;Fabales;Fabaceae;Pisum;Pisum sativum
3922	Eukaryota;Streptophyta;Magnoliopsida;Fabales;Fabaceae;Wisteria;Wisteria floribunda
4100	Eukaryota;Streptophyta;Magnoliopsida;Solanales;Solanaceae;Nicotiana;Nicotiana benthamiana
4171	
4195	Eukaryota;Streptophyta;Magnoliopsida;Lamiales;Acanthaceae;Ruttya;Ruttya fruticosa
4208	Eukaryota;Streptophyta;Magnoliopsida;Dipsacales;Adoxaceae;Adoxa;Adoxa moschatellina
4382	Eukaryota;Streptophyta;Magnoliopsida;Asterales;Campanulaceae;Lobelia;
4448	Eukaryota;Streptophyta;Magnoliopsida;Alismatales;;;
4471	Eukaryota;Streptophyta;Magnoliopsida;Alismatales;Araceae;Lemna;Lemna minuta
4700	Eukaryota;Streptophyta;Magnoliopsida;Liliales;Colchicaceae;Uvularia;Uvularia sessilifolia
4706	Eukaryota;Streptophyta;Magnoliopsida;Liliales;Smilacaceae;Lapageria;
5345	Eukaryota;Basidiomycota;Agaricomycetes;Agaricales;Agaricaceae;Coprinus;
5492	Eukaryota;Ascomycota;Saccharomycetes;Saccharomycetales;Pichiaceae;Pichia;[Candida] rugopelliculosa
5551	Eukaryota;Ascomycota;Eurotiomycetes;Onygenales;Arthrodermataceae;Trichophyton;Trichophyton rubrum
5730	Eukaryota;Parabasalia;;Trichomonadida;Trichomonadidae;Tetratrichomonas;Tetratrichomonas gallinarum
5754	Eukaryota;Discosea;;Longamoebia;Acanthamoebidae;Acanthamoeba;
